Pos,ID,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts
F,95,Mbeumo,5.8,5.8,Brentford,60,3.38,57,2.5
D,96,Goode,3.9,3.9,Brentford,0,0,0,0
F,97,Forss,4.5,4.5,Brentford,0,0,0,0
D,98,Thompson,4,4,Brentford,0,0,0,0
M,99,Bidstrup,4.5,4.5,Brentford,0,0,0,0
G,100,Balcombe,4,4,Brentford,0,0,0,0
M,101,Lallana,4.9,4.9,Brighton,6,0.07,13,0.69
G,102,Steele,3.9,3.9,Brighton,3,0.03,4,0.18
F,103,Welbeck,6.5,6.5,Brighton,45,0.62,45,2.49
M,104,Groß,5.5,5.5,Brighton,74,0.82,72,3.43
D,105,Duffy,4.3,4.3,Fulham,5,0.1,5,0.14
D,106,Dunk,4.7,4.7,Brighton,80,0.68,80,3.57
M,107,March,5.1,5.1,Brighton,71,0.81,70,3.31
D,108,Webster,4.5,4.5,Brighton,50,0.43,47,2.1
D,109,Veltman,4.6,4.6,Brighton,50,0.45,49,2.28
F,110,Maupay,5.9,5.9,Everton,28,1.31,28,1.33
M,111,Trossard,6.6,6.6,Arsenal,35,1.56,33,1.53
D,112,Cucurella,5.1,5.1,Chelsea,24,0.38,24,1.2
G,113,Sánchez,4.6,4.6,Brighton,87,0.93,86,3.82
D,114,Lamptey,4.2,4.2,Brighton,29,0.29,27,1.36
M,115,Alzate,4.4,4.4,Brighton,0,0,0,0
M,116,Mac Allister,5.4,5.4,Brighton,73,0.89,74,3.78
M,117,Moder,4.4,4.4,Brighton,12,0.15,12,0.56
M,118,Mwepu,5.3,5.3,Brighton,0,0,0,0
M,119,Sarmiento,4.5,4.5,Brighton,21,0.3,20,1.17
M,120,Caicedo,5,5,Brighton,73,0.57,72,2.3
M,121,Richards,4.5,4.5,Brighton,0,0,0,0
D,122,Roberts,4,4,Brighton,0,0,0,0
F,123,Undav,5.1,5.1,Brighton,33,0.52,34,2.16
M,124,Mitoma,5.4,5.4,Brighton,72,0.96,71,4.12
F,125,Enciso,4.7,4.7,Brighton,20,0.26,17,0.85
M,126,Kozłowski,4.5,4.5,Brighton,0,0,0,0
D,127,Azpilicueta,4.8,4.8,Chelsea,19,0.29,17,0.8
D,128,Thiago Silva,5.5,5.5,Chelsea,60,0.77,62,2.74
D,129,Alonso,5.3,5.3,Chelsea,0,0,0,0
M,130,Jorginho,5.8,5.8,Arsenal,36,1,34,1.15
M,131,Barkley,4.9,4.9,Chelsea,0,0,0,0
M,132,Kovacic,4.9,4.9,Chelsea,44,0.64,46,1.7
G,133,Arrizabalaga,4.7,4.6,Chelsea,84,1.44,83,3.73
M,134,Kanté,4.8,4.8,Chelsea,33,0.5,32,1.21
M,135,Ziyech,5.5,5.5,Chelsea,17,0.42,19,1.21
M,136,Loftus-Cheek,5,5,Chelsea,19,0.37,22,1.02
F,137,Werner,7.9,7.9,Chelsea,0,0,0,0
D,138,Kenedy,3.9,3.9,Chelsea,0,0,0,0
D,139,Chilwell,5.8,5.8,Chelsea,56,0.82,57,2.85
M,140,Pulisic,5.7,5.7,Chelsea,17,0.39,14,0.92
D,141,Chalobah,4.5,4.5,Chelsea,26,0.35,25,1.1
M,142,Mount,7.3,7.3,Chelsea,38,0.84,42,2.65
D,143,Sarr,5,5,Chelsea,0,0,0,0
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0,0,0
F,145,Havertz,7.7,7.7,Chelsea,56,1.2,52,3.24
D,146,James,5.8,5.8,Chelsea,63,1.05,62,3.55
G,147,Mendy,4.8,4.8,Chelsea,6,0.1,7,0.26
M,148,Gallagher,5.7,5.7,Chelsea,20,0.36,20,0.95
M,149,Gilmour,4.2,4.2,Brighton,23,0.25,24,1
F,150,Broja,5.3,5.3,Chelsea,0,0,0,0
D,151,Ampadu,4.4,4.4,Chelsea,0,0,0,0
G,152,Guaita,4.4,4.4,Crystal Palace,87,3.9,87,3.37
D,153,Tomkins,3.9,3.9,Crystal Palace,4,0.16,5,0.17
M,154,McArthur,4.8,4.8,Crystal Palace,9,0.37,9,0.34
F,155,Benteke,5.5,5.5,Crystal Palace,0,0,0,0
D,156,Ward,4.4,4.4,Crystal Palace,34,1.41,34,1.02
D,157,Clyne,4.5,4.5,Crystal Palace,63,2.68,63,2
M,158,Milivojevic,4.2,4.2,Crystal Palace,12,0.52,10,0.44
M,159,J.Ayew,5.3,5.3,Crystal Palace,57,2.62,58,2.36
M,160,Zaha,7.2,7.2,Crystal Palace,78,4.12,77,3.34
M,161,Schlupp,4.7,4.7,Crystal Palace,54,2.13,53,1.9
G,162,Butland,4.4,4.4,Man Utd,4,0.06,4,0.15
M,163,Hughes,4.8,4.8,Crystal Palace,41,1.62,40,1.45
M,164,Riedewald,4.3,4.3,Crystal Palace,4,0.13,4,0.12
D,165,Andersen,4.5,4.5,Crystal Palace,79,3.32,78,2.35
F,166,Edouard,5.1,5.1,Crystal Palace,35,1.9,35,1.71
D,167,Guéhi,4.4,4.4,Crystal Palace,73,2.91,72,2.11
F,168,Mateta,5.1,5.1,Crystal Palace,46,2.39,43,2
M,169,Eze,5.4,5.4,Crystal Palace,37,1.96,39,1.75
D,170,Mitchell,4.4,4.4,Crystal Palace,66,2.92,65,2.15
M,171,Olise,5.4,5.4,Crystal Palace,60,2.87,63,2.54
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0,0,0
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0,0,0
D,174,Ferguson,3.9,3.9,Crystal Palace,12,0.45,14,0.44
G,175,Johnstone,4.4,4.4,Crystal Palace,3,0.14,3,0.08
G,176,Begović,4,4,Everton,5,0.17,4,0.16
F,177,Rondón,4.9,4.9,Everton,0,0,0,0
D,178,Coleman,4.4,4.4,Everton,44,1.85,42,1.63
M,179,Townsend,5.4,5.4,Everton,10,0.48,10,0.53
D,180,Keane,4.2,4.2,Everton,1,0,1,0
M,181,Dele,5.3,5.3,Everton,0,0,0,0
G,182,Pickford,4.4,4.4,Everton,85,3.53,85,3.42
M,183,Allan,4.8,4.8,Everton,0,0,0,0
M,184,André Gomes,4.5,4.5,Everton,0,0,0,0
M,185,A.Doucouré,5.3,5.3,Everton,62,2.24,61,2.16
M,186,Iwobi,5.4,5.4,Everton,72,2.64,71,2.6
M,187,Gbamin,4.5,4.5,Everton,0,0,0,0
D,188,Mina,4.3,4.3,Everton,13,0.48,16,0.57
M,189,Gray,5.3,5.3,Everton,46,2.13,48,2.22
M,190,Davies,4.9,4.9,Everton,16,0.67,14,0.62
F,191,Calvert-Lewin,7.9,7.9,Everton,72,3.42,72,3.33
D,192,Holgate,4.3,4.3,Everton,6,0.22,7,0.23
D,193,Godfrey,4.3,4.3,Everton,34,1.23,33,1.08
D,194,Mykolenko,4.3,4.3,Everton,65,2.51,65,2.24
M,195,Gordon,5.1,5.1,Newcastle,41,1.17,39,1.88
D,196,Branthwaite,4,4,Everton,0,0,0,0
D,197,Patterson,3.9,3.9,Everton,44,1.66,44,1.54
D,198,Nkounkou,4,4,Everton,0,0,0,0
D,199,Tarkowski,4.3,4.3,Everton,77,2.72,78,2.44
M,200,Cairney,4.7,4.7,Fulham,22,0.63,23,1.04
D,201,Ream,4.6,4.6,Fulham,81,1.55,80,2.11
M,202,Knockaert,4.7,4.7,Fulham,0,0,0,0
M,203,Chalobah,4.4,4.4,Fulham,0,0,0,0
M,204,Kebano,5.4,5.4,Fulham,0,0,0,0
M,205,De Cordova-Reid,5.5,5.5,Fulham,60,1.58,61,2.37
D,206,Bryan,4.4,4.4,Fulham,0,0,0,0
G,207,Gazzaniga,4,4,Fulham,0,0,0,0
D,208,Kongolo,3.9,3.9,Fulham,0,0,0,0
D,209,Tosin,4.5,4.5,Fulham,25,0.5,27,0.79
F,210,Mitrović,6.9,6.9,Fulham,75,2.65,76,3.86
M,211,Reed,4.4,4.4,Fulham,58,1.12,60,1.83
M,212,Wilson,5.7,5.7,Fulham,38,1.28,37,1.86
G,213,Rodák,4.3,4.3,Fulham,6,0.14,4,0.15
M,214,Cavaleiro,4.8,4.8,Fulham,0,0,0,0
D,215,Tete,4.4,4.4,Fulham,67,1.49,65,2
M,216,Onomah,4.3,4.3,Fulham,0,0,0,0
D,217,Robinson,4.4,4.4,Fulham,70,1.45,72,2.01
F,218,Muniz,5.4,5.4,Fulham,0,0,0,0
F,219,Stansfield,4.5,4.5,Fulham,0,0,0,0
M,220,Palhinha,4.9,4.9,Fulham,71,1.42,70,2.15
D,221,Cooper,4.4,4.4,Leeds,34,0.56,34,1.18
D,222,Ayling,4.5,4.5,Leeds,73,1.29,70,2.7
M,223,Klich,4.6,4.6,Leeds,0,0,0,0
M,224,Forshaw,4.4,4.4,Leeds,10,0.25,8,0.42
M,225,Rodrigo,6.3,6.3,Leeds,43,1.49,44,3.16
D,226,Dallas,4.9,4.9,Leeds,28,0.58,27,1.15
F,227,Bamford,7.2,7.2,Leeds,52,1.72,52,3.51
D,228,Llorente,4.4,4.4,Leeds,0,0,0,0
M,229,Roberts,5,5,Leeds,0,0,0,0
D,230,Koch,4.5,4.5,Leeds,70,1.12,71,2.5
M,231,James,6,6,Fulham,25,0.79,23,1.18
M,232,Raphinha,7,7,Leeds,0,0,0,0
M,233,Harrison,5.8,5.8,Leeds,44,1.24,43,2.35
M,234,Shackleton,4.5,4.5,Leeds,0,0,0,0
D,235,Struijk,4.5,4.5,Leeds,57,1.06,56,2.26
G,236,Klaesson,3.9,3.9,Leeds,1,0,2,0.04
F,237,Greenwood,4.1,4.1,Leeds,7,0.2,8,0.42
G,238,Meslier,4.5,4.5,Leeds,85,1.85,84,3.42
D,239,Firpo,4.5,4.5,Leeds,7,0.15,9,0.38
M,240,Summerville,4.2,4.2,Leeds,34,0.92,33,1.81
M,241,Bate,4.5,4.5,Leeds,0,0,0,0
F,242,Gelhardt,5.1,5.1,Leeds,0,0,0,0
D,243,Hjelde,3.9,3.9,Leeds,0,0,0,0
D,244,Kristensen,4.8,4.8,Leeds,16,0.33,21,0.89
M,245,Roca,4.8,4.8,Leeds,55,1.17,56,2.26
M,246,Aaronson,5.4,5.4,Leeds,22,0.57,21,1.11
M,247,Gyabi,4.3,4.3,Leeds,0,0,0,0
G,248,Schmeichel,5,5,Leicester,0,0,0,0
D,249,Evans,4.4,4.4,Leicester,54,1.16,53,1.33
D,250,Bertrand,3.9,3.9,Leicester,3,0.05,3,0.07
M,251,Albrighton,4.7,4.7,Leicester,0,0,0,0
M,252,Mendy,4.3,4.3,Leicester,21,0.49,22,0.8
D,253,Vestergaard,3.9,3.9,Leicester,0,0,0,0
G,254,Ward,4,4,Leicester,83,2.13,83,3.08
F,255,Vardy,9.1,9.1,Leicester,40,1.47,40,2.14
D,256,Ricardo,4.3,4.3,Leicester,18,0.45,16,0.55
D,257,Amartey,4.1,4.1,Leicester,16,0.34,18,0.51
D,258,Castagne,4.4,4.4,Leicester,73,1.74,73,2.07
M,259,Tielemans,6.1,6.1,Leicester,65,1.6,67,2.37
M,260,Pérez,4.7,4.7,Leicester,0,0,0,0
M,261,Maddison,8.1,8.1,Leicester,73,2.51,72,3.55
F,262,Iheanacho,6.1,6.1,Leicester,37,1.34,37,2.03
M,263,Choudhury,4.5,4.5,Leicester,0,0,0,0
M,264,Barnes,6.7,6.7,Leicester,69,2.25,66,3.04
M,265,Ndidi,4.8,4.8,Leicester,38,0.79,38,1.17
M,266,Dewsbury-Hall,4.9,4.9,Leicester,64,1.56,65,2.32
D,267,Söyüncü,4.2,4.2,Leicester,3,0.08,4,0.13
D,268,Justin,4.2,4.2,Leicester,0,0,0,0
M,269,Soumaré,4.4,4.4,Leicester,24,0.59,21,0.82
D,270,Thomas,4.1,4.1,Leicester,19,0.45,19,0.58
F,271,Daka,5.6,5.6,Leicester,30,1.13,29,1.66
D,272,W.Fofana,4.3,4.3,Chelsea,53,0.65,53,2.22
D,273,Brunt,3.9,3.9,Leicester,0,0,1,0
M,274,Milner,4.4,4.4,Liverpool,7,0.4,10,0.51
M,275,Henderson,5.3,5.3,Liverpool,51,2.26,54,1.99
D,276,Matip,5.9,5.9,Liverpool,19,0.89,20,0.71
M,277,Thiago,5.1,5.1,Liverpool,60,2.43,60,2.02
M,278,Chamberlain,4.9,4.9,Liverpool,4,0.31,4,0.28
F,279,Firmino,8,8,Liverpool,34,2.28,36,1.97
D,280,Van Dijk,6.5,6.5,Liverpool,78,4.01,78,2.94
G,281,Alisson,5.4,5.4,Liverpool,85,4.12,86,3.58
M,282,Fabinho,5.2,5.2,Liverpool,52,1.86,51,1.6
M,283,Salah,12.6,12.6,Liverpool,75,6.54,75,4.91
D,284,Robertson,6.8,6.8,Liverpool,72,4.31,72,3.08
D,285,Alexander-Arnold,7.3,7.3,Liverpool,76,5.13,76,3.62
D,286,Gomez,4.3,4.3,Liverpool,28,1.29,28,0.96
M,287,Keita,4.7,4.7,Liverpool,18,0.98,18,0.91
F,288,Diogo Jota,8.8,8.8,Liverpool,38,2.59,35,1.93
G,289,Kelleher,4,4,Liverpool,4,0.19,3,0.13
D,290,Konaté,4.8,4.8,Liverpool,64,3.05,63,2.18
M,291,Jones,4.9,4.9,Liverpool,8,0.37,7,0.33
D,292,Tsimikas,4.4,4.4,Liverpool,17,0.97,17,0.74
M,293,Luis Díaz,7.8,7.8,Liverpool,44,3.07,43,2.41
M,294,Elliott,4.9,4.9,Liverpool,18,1.01,18,0.94
D,295,N.Williams,3.9,3.9,Nott'm Forest,31,0.71,33,1.07
M,296,Carvalho,5.1,5.1,Liverpool,2,0.2,2,0.18
F,297,Darwin,8.7,8.7,Liverpool,47,3.63,46,2.9
D,298,Ramsay,3.9,3.9,Liverpool,0,0,0,0
D,299,Walker,4.8,4.8,Man City,46,0.26,41,1.71
M,300,Gündogan,7.3,7.3,Man City,52,0.34,51,2.37
M,301,De Bruyne,12.4,12.4,Man City,65,0.58,63,3.91
D,302,Stones,5.4,5.4,Man City,60,0.34,59,2.48
M,303,Mahrez,7.8,7.8,Man City,54,0.5,55,3.52
M,304,Sterling,9.7,9.7,Chelsea,27,0.66,27,1.84
M,305,Grealish,6.8,6.8,Man City,60,0.45,63,3.28
D,306,Cancelo,7.1,7.1,Man City,0,0,0,0
G,307,Ederson,5.4,5.4,Man City,86,0.53,85,3.65
D,308,Aké,5.1,5.1,Man City,46,0.26,49,2
D,309,Laporte,5.7,5.7,Man City,52,0.3,51,2.11
G,310,Steffen,4,4,Man City,0,0,0,0
M,311,Bernardo,6.8,6.8,Man City,59,0.36,56,2.43
D,312,Dias,5.9,5.9,Man City,53,0.31,54,2.33
D,313,Zinchenko,5.1,5.1,Arsenal,65,2.42,68,1.84
M,314,Foden,8,8,Man City,45,0.4,45,2.81
M,315,Rodri,5.6,5.6,Man City,75,0.38,74,2.62
M,316,Palmer,4.3,4.3,Man City,16,0.12,17,0.91
M,317,McAtee,4.5,4.5,Man City,0,0,0,0
F,318,Haaland,12.2,11.8,Man City,71,0.73,70,5.12
F,319,Álvarez,6,6,Man City,39,0.3,41,2.12
D,320,Mbete,3.9,3.9,Man City,0,0,0,0
M,321,Lavia,4.5,4.5,Southampton,65,1.14,62,2.15
D,322,Wilson-Esbrand,3.8,3.8,Man City,0,0,0,0
F,323,Delap,4.4,4.4,Man City,0,0,0,0
G,324,Ortega,3.8,3.8,Man City,4,0.03,5,0.17
M,325,Phillips,4.8,4.8,Man City,22,0.12,20,0.74
F,326,Ronaldo,10.2,10.2,Man Utd,0,0,0,0
G,327,De Gea,5,5,Man Utd,86,1.59,85,3.3
D,328,Jones,3.9,3.9,Man Utd,0,0,0,0
D,329,Varane,4.8,4.8,Man Utd,48,0.82,43,1.42
D,330,Maguire,4.7,4.7,Man Utd,50,0.81,50,1.52
M,331,Fred,5.1,5.1,Man Utd,41,0.68,42,1.45
D,332,Shaw,5.4,5.4,Man Utd,71,1.27,70,2.3
M,333,Fernandes,9.9,9.9,Man Utd,77,1.83,78,3.81
D,334,Telles,5,5,Man Utd,0,0,0,0
M,335,Rashford,7.3,7,Man Utd,72,1.89,73,4.04
M,336,Van de Beek,5.1,5.1,Man Utd,0,0,0,0
D,337,Lindelöf,4.1,4.1,Man Utd,14,0.22,14,0.39
M,338,McTominay,4.9,4.9,Man Utd,26,0.41,25,0.89
D,339,Bailly,4,4,Man Utd,0,0,0,0
M,340,Sancho,7.1,7.1,Man Utd,33,0.89,35,1.98
D,341,Wan-Bissaka,4.3,4.3,Man Utd,19,0.31,18,0.56
D,342,Dalot,4.7,4.7,Man Utd,67,1.15,67,2.13
D,343,B.Williams,3.8,3.8,Man Utd,4,0.05,4,0.08
M,344,Elanga,4.7,4.7,Man Utd,4,0.14,4,0.24
F,345,Martial,6.4,6.4,Man Utd,52,1.3,52,2.8
M,346,Andreas,4.4,4.4,Fulham,68,1.97,69,2.95
M,347,Pellistri,4.3,4.3,Man Utd,4,0.09,3,0.19
G,348,Heaton,3.9,3.9,Man Utd,0,0,0,0
M,349,Shelvey,4.8,4.8,Nott'm Forest,37,1.17,35,1.19
D,350,Ritchie,4.2,4.2,Newcastle,3,0.08,3,0.15
D,351,Fernández,4.4,4.4,Newcastle,0,0,0,0
D,352,Clark,4.5,4.5,Newcastle,0,0,0,0
G,353,Darlow,3.9,3.9,Newcastle,0,0,0,0
F,354,Wood,5.6,5.6,Nott'm Forest,47,2.02,48,2.29
G,355,Dubravka,4.1,4.1,Newcastle,3,0.05,3,0.14
F,356,Wilson,7,7,Newcastle,49,1.75,49,2.83
D,357,Trippier,6.1,5.6,Newcastle,78,1.94,74,3.51
D,358,Burn,4.6,4.6,Newcastle,74,1.69,76,3.32
M,359,Fraser,5.2,5.2,Newcastle,6,0.21,5,0.35
D,360,Lascelles,4.3,4.3,Newcastle,18,0.36,15,0.59
F,361,Gayle,4.5,4.5,Newcastle,0,0,0,0
D,362,Dummett,3.9,3.9,Newcastle,2,0.05,3,0.09
D,363,Manquillo,4.2,4.2,Newcastle,7,0.14,6,0.24
D,364,Krafth,4.3,4.3,Newcastle,7,0.12,11,0.38
M,365,Murphy,4.2,4.2,Newcastle,7,0.23,7,0.43
D,366,Schär,5.2,5.2,Newcastle,72,1.74,75,3.39
D,367,Targett,4.7,4.7,Newcastle,22,0.55,20,0.92
M,368,Saint-Maximin,6.1,6.1,Newcastle,47,1.42,48,2.42
M,369,Almirón,5.6,5.6,Newcastle,64,1.74,62,2.87
M,370,S.Longstaff,4.3,4.3,Newcastle,62,1.2,62,2.06
M,371,Joelinton,5.9,5.9,Newcastle,62,1.41,61,2.38
D,372,Lewis,4.4,4.4,Newcastle,5,0.11,4,0.16
M,373,Willock,4.7,4.7,Newcastle,51,1.35,51,2.32
M,374,Bruno Guimarães,5.5,5.5,Newcastle,74,1.63,74,2.72
M,375,Hendrick,4.5,4.5,Newcastle,0,0,0,0
G,376,Pope,5.5,5.5,Newcastle,87,2.16,87,3.93
D,377,Botman,4.5,4.5,Newcastle,73,1.63,74,3.17
M,378,Arter,4.1,4.1,Nott'm Forest,0,0,0,0
D,379,Cook,4.3,4.3,Nott'm Forest,6,0.13,6,0.19
F,380,Lyle Taylor,4.2,4.2,Nott'm Forest,0,0,0,0
M,381,Colback,4.1,4.1,Nott'm Forest,11,0.34,12,0.42
G,382,Samba,4.5,4.5,Nott'm Forest,0,0,0,0
M,383,Cafú,4.2,4.2,Nott'm Forest,0,0,0,0
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0,0,0
D,385,McKenna,4.4,4.4,Nott'm Forest,69,1.19,71,1.86
D,386,Dräger,4,4,Nott'm Forest,0,0,0,0
M,387,Yates,5,5,Nott'm Forest,71,1.92,69,2.03
D,388,Worrall,4.2,4.2,Nott'm Forest,47,0.79,44,1.14
D,389,Panzo,4,4,Nott'm Forest,0,0,0,0
M,390,Xande Silva,5,5,Nott'm Forest,0,0,0,0
F,391,Surridge,4.7,4.7,Nott'm Forest,1,0.08,2,0.09
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0,0,0
D,393,Mbe Soh,4.2,4.2,Nott'm Forest,0,0,0,0
F,394,Johnson,5.7,5.7,Nott'm Forest,67,2.33,69,2.65
M,395,Mighten,4.9,4.9,Nott'm Forest,0,0,0,0
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0,0,0
F,397,Awoniyi,5.6,5.6,Nott'm Forest,31,1.5,26,1.45
G,398,Henderson,4.6,4.6,Nott'm Forest,16,0.57,15,0.58
D,399,Biancone,4.2,4.2,Nott'm Forest,0,0,0,0
M,400,Walcott,4.8,4.8,Southampton,8,0.27,7,0.42
G,401,McCarthy,4.3,4.3,Southampton,10,0.23,13,0.53
M,402,Romeu,4.8,4.8,Southampton,0,0,0,0
M,403,Redmond,5.3,5.3,Southampton,0,0,0,0
D,404,Stephens,4.3,4.3,Bournemouth,61,1.92,0,0
M,405,S.Armstrong,4.7,4.7,Southampton,34,0.83,32,1.66
M,406,Elyounoussi,5.2,5.2,Southampton,38,0.95,36,2
M,407,Ward-Prowse,6.2,6.2,Southampton,79,1.59,78,3.72
F,408,A.Armstrong,5.4,5.4,Southampton,17,0.54,17,1.11
D,409,Walker-Peters,4.4,4.4,Southampton,74,0.9,71,3.1
D,410,Bednarek,4.2,4.2,Southampton,51,0.63,49,2.04
