Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,561,Warrington,4.5,4.5,Everton,8,0.34,11,0.51,11,0.44,11,0.43,9,0.40
M,562,Solomon,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,563,Chambers,4.0,4.0,Liverpool,0,0.01,1,0.04,0,0.01,1,0.03,0,0.02
M,564,Bajcetic,4.5,4.5,Liverpool,0,0.01,1,0.04,1,0.03,0,0.02,0,0.02
M,565,Gray,4.5,4.5,Leeds,0,0.01,0,0.02,0,0.02,0,0.01,0,0.01
M,566,Hodge,4.5,4.5,Wolves,2,0.07,1,0.05,2,0.10,3,0.10,3,0.12
M,567,Ronan,4.5,4.5,Wolves,3,0.14,4,0.17,4,0.19,4,0.15,5,0.19
M,568,Campbell,4.5,4.5,Wolves,2,0.08,2,0.09,2,0.10,2,0.09,3,0.11
M,569,Garnacho,4.5,4.5,Man Utd,4,0.23,4,0.21,2,0.12,3,0.14,2,0.14
M,570,Garner,4.5,4.5,Man Utd,0,0.01,0,0.02,1,0.03,1,0.03,1,0.04
G,571,Randolph,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00
M,572,Oko-Flex,4.5,4.5,West Ham,5,0.23,7,0.32,9,0.37,10,0.46,11,0.48
D,573,Lewis,4.0,4.0,Man City,3,0.13,2,0.14,3,0.16,2,0.10,2,0.10
G,574,Neto,4.5,4.5,Bournemouth,16,0.56,21,0.81,22,0.89,22,0.86,23,0.84
M,575,Cornet,6.0,6.0,West Ham,33,1.56,41,1.78,46,1.75,45,2.11,43,1.99
D,576,Senesi,4.5,4.5,Bournemouth,73,1.23,73,2.46,68,2.47,67,2.21,68,1.55
M,577,Onana,5.0,5.0,Everton,49,1.72,40,1.48,37,1.21,34,1.08,35,1.31
G,578,Robles,4.0,4.0,Leeds,0,0.00,0,0.01,0,0.00,0,0.01,0,0.00
M,579,Guedes,6.0,6.0,Wolves,74,3.79,71,3.76,69,4.13,69,2.51,69,2.63
M,580,Damsgaard,5.5,5.5,Brentford,17,0.94,22,1.05,28,1.60,29,1.50,26,1.23
G,581,Smithies,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.01,0,0.02,0,0.01
M,582,Freuler,5.0,5.0,Nott'm Forest,37,1.21,65,1.67,67,2.34,63,1.91,63,2.14
M,583,Kouyaté,4.5,4.5,Nott'm Forest,34,1.06,56,1.43,53,1.77,58,1.69,56,1.79
M,584,Clark,4.5,4.5,Liverpool,7,0.41,7,0.36,5,0.27,4,0.22,4,0.16
F,585,Dennis,6.0,6.0,Nott'm Forest,25,1.09,41,1.38,42,2.04,42,1.76,40,1.93
D,586,Estupiñán,4.5,4.5,Brighton,52,2.49,67,2.94,64,2.98,65,3.31,64,3.16
D,587,Sergio Gómez,4.5,4.5,Man City,10,0.47,9,0.49,10,0.43,10,0.40,9,0.41
D,588,Kehrer,4.5,4.5,West Ham,50,1.54,45,1.25,39,0.85,39,1.39,37,1.35
M,589,Matheus,5.0,5.0,Wolves,40,1.48,48,1.75,48,1.82,47,1.39,47,1.42
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,591,Ablade,4.5,4.5,Fulham,0,0.00,0,0.01,0,0.01,0,0.02,0,0.01
G,592,H.Davies,4.0,4.0,Liverpool,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00
M,593,Casemiro,5.0,5.0,Man Utd,48,1.82,73,2.46,72,2.30,72,2.34,71,2.70
D,10020,Abdul-Rahman Baba,99.9,99.9,Chelsea,1,0.05,1,0.05,1,0.06,1,0.05,1,0.05
F,10033,Florin Andone,99.9,99.9,Brighton,0,0.02,1,0.04,1,0.06,1,0.05,1,0.09
F,10052,Joel Valencia,99.9,99.9,Brentford,0,0.01,0,0.01,0,0.01,0,0.01,0,0.00
D,10054,Luka Racic,99.9,99.9,Brentford,0,0.01,0,0.01,1,0.03,0,0.01,1,0.02
F,10094,Patrick Cutrone,99.9,99.9,Wolves,1,0.07,1,0.12,2,0.20,2,0.14,3,0.24
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10132,Tahith Chong,99.9,99.9,Man Utd,1,0.04,0,0.02,0,0.02,1,0.04,0,0.01
G,10133,Marcus Bettinelli,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10150,Andy Lonergan,99.9,99.9,Everton,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00
M,10200,Hannibal Mejbri,99.9,99.9,Man Utd,0,0.01,0,0.03,1,0.05,1,0.04,1,0.08
D,10201,Teden Mengi,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00
F,10202,Shola Shoretire,99.9,99.9,Man Utd,0,0.03,1,0.05,0,0.03,1,0.05,1,0.05
F,10228,Marlos Moreno,99.9,99.9,Man City,2,0.14,3,0.16,3,0.17,5,0.27,4,0.22
M,10229,Ante Palaversa,99.9,99.9,Man City,2,0.11,2,0.11,3,0.13,3,0.15,3,0.14
F,10232,Léo Bonatini,99.9,99.9,Wolves,1,0.08,3,0.15,2,0.15,3,0.16,3,0.13
M,10233,Mateusz Bogusz,99.9,99.9,Leeds,1,0.04,1,0.04,1,0.04,1,0.04,0,0.02
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10246,Héctor Bellerín,99.9,99.9,Arsenal,0,0.02,0,0.02,1,0.04,1,0.05,1,0.05
M,10249,Matty Longstaff,99.9,99.9,Newcastle,4,0.16,3,0.14,6,0.27,5,0.20,6,0.28
F,10252,Evan Ferguson,99.9,99.9,Brighton,1,0.04,1,0.05,2,0.10,1,0.06,1,0.07
F,10258,Michy Batshuayi,99.9,99.9,Chelsea,11,0.74,14,0.92,14,0.95,14,0.97,13,0.79
D,10260,Axel Tuanzebe,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01
F,10271,Ian Poveda,99.9,99.9,Leeds,0,0.02,0,0.03,1,0.05,1,0.05,1,0.04
G,10275,Jordan Smith,99.9,99.9,Nott'm Forest,0,0.00,0,0.01,0,0.00,0,0.01,0,0.00
M,10325,Matheus Nunes,99.9,99.9,Wolves,0,0.02,1,0.03,1,0.04,1,0.03,1,0.04
D,10326,Zanka,99.9,99.9,Brentford,11,0.38,12,0.34,12,0.40,10,0.28,8,0.19
M,10327,Cesare Casadei,99.9,99.9,Chelsea,0,0.02,0,0.01,0,0.02,0,0.01,0,0.00
F,10329,Antony,99.9,99.9,Man Utd,0,0.00,13,0.60,48,1.88,46,1.83,46,2.16
F,10330,Cody Gakpo,99.9,99.9,Man Utd,0,0.00,5,0.25,12,0.59,14,0.68,14,0.79
