Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
D,248,Davies,4.0,4.0,Liverpool,0,0.00
D,249,Walker,5.4,5.4,Man City,0,0.00
M,250,Gündogan,7.1,7.1,Man City,43,2.67
M,251,De Bruyne,12.1,12.1,Man City,86,6.23
D,252,Stones,5.2,5.2,Man City,0,0.00
D,253,Mendy,5.2,5.2,Man City,0,0.00
M,254,Mahrez,8.6,8.6,Man City,39,3.41
M,255,Sterling,10.5,10.5,Man City,68,5.12
D,256,Cancelo,7.2,7.2,Man City,86,5.53
G,257,Ederson,6.2,6.1,Man City,89,4.63
D,258,Aké,4.7,4.7,Man City,75,4.76
D,259,Laporte,6.0,5.9,Man City,86,5.33
G,260,Steffen,4.4,4.4,Man City,1,0.07
M,261,Bernardo,7.0,7.0,Man City,69,3.65
D,262,Dias,6.2,6.1,Man City,0,0.00
F,263,Jesus,8.6,8.6,Man City,68,4.59
D,264,Zinchenko,5.3,5.3,Man City,87,5.04
M,265,Foden,7.9,7.9,Man City,80,5.58
M,266,Rodrigo,5.5,5.5,Man City,83,3.39
M,267,Harrison,5.5,5.5,Leeds,81,3.50
M,268,Torres,6.7,6.7,Man City,0,0.00
F,269,Cavani,8.4,8.4,Man Utd,12,0.73
G,270,de Gea,5.0,5.0,Man Utd,90,3.55
M,271,Matic,4.3,4.3,Man Utd,22,0.83
M,272,Pogba,7.4,7.4,Man Utd,19,0.89
D,273,Maguire,5.4,5.4,Man Utd,41,1.38
M,274,Fred,4.9,4.9,Man Utd,76,2.35
D,275,Shaw,5.0,5.0,Man Utd,15,0.60
M,276,Lingard,6.7,6.7,Man Utd,26,1.41
M,277,Fernandes,11.6,11.6,Man Utd,87,4.67
F,278,Martial,7.6,7.6,Man Utd,0,0.00
D,279,Telles,4.9,4.9,Man Utd,73,2.96
G,280,Henderson,4.7,4.7,Man Utd,0,0.01
M,281,Rashford,9.4,9.4,Man Utd,28,1.63
M,282,van de Beek,5.7,5.7,Everton,11,0.46
D,283,Tuanzebe,4.4,4.4,Man Utd,0,0.00
D,284,Lindelöf,4.8,4.8,Man Utd,55,1.75
M,285,McTominay,5.4,5.4,Man Utd,66,2.25
D,286,Bailly,4.9,4.9,Man Utd,0,0.00
M,287,James,6.0,6.0,Leeds,0,0.00
D,288,Wan-Bissaka,5.1,5.1,Man Utd,25,0.85
M,289,Greenwood,7.1,7.1,Man Utd,0,0.00
D,290,Williams,3.9,3.9,Norwich,45,0.78
M,291,Shelvey,5.3,5.3,Newcastle,0,0.00
D,292,Ritchie,4.9,4.9,Newcastle,6,0.27
D,293,Clark,4.4,4.4,Newcastle,0,0.00
G,294,Darlow,4.5,4.5,Newcastle,4,0.17
G,295,Dubravka,4.4,4.4,Newcastle,87,3.50
F,296,Wilson,7.1,7.1,Newcastle,73,3.70
M,297,Hendrick,4.8,4.8,Newcastle,0,0.00
M,298,Fraser,5.1,5.1,Newcastle,75,3.19
D,299,Lascelles,4.4,4.4,Newcastle,27,0.94
F,300,Gayle,5.2,5.2,Newcastle,2,0.19
D,301,Dummett,4.5,4.5,Newcastle,4,0.15
D,302,Manquillo,3.9,3.9,Newcastle,1,0.05
D,303,Krafth,4.3,4.3,Newcastle,13,0.41
M,304,Murphy,4.6,4.6,Newcastle,13,0.61
D,305,Schär,4.2,4.2,Newcastle,62,2.20
M,306,Hayden,4.5,4.5,Newcastle,0,0.00
F,307,Saint-Maximin,6.7,6.7,Newcastle,81,3.39
M,308,Almirón,5.0,5.0,Newcastle,33,1.47
M,309,S.Longstaff,4.3,4.3,Newcastle,76,2.40
F,310,Joelinton,5.8,5.8,Newcastle,84,2.54
D,311,Lewis,4.2,4.2,Newcastle,0,0.00
M,312,M.Longstaff,4.5,4.5,Newcastle,0,0.00
G,313,McGovern,3.9,3.9,Norwich,0,0.00
G,314,Krul,4.5,4.5,Norwich,88,3.11
F,315,Pukki,6.1,6.1,Norwich,88,3.39
M,316,Stiepermann,5.0,5.0,Norwich,0,0.00
M,317,Rupp,4.4,4.4,Norwich,45,1.50
M,318,McLean,4.9,4.9,Norwich,0,0.00
D,319,Hanley,4.4,4.4,Norwich,84,1.32
M,320,Hernández,4.9,4.9,Norwich,0,0.00
D,321,Byram,4.4,4.4,Norwich,75,1.23
F,322,Hugill,5.4,5.4,Norwich,0,0.00
M,323,Dowell,5.1,5.1,Norwich,24,1.11
D,324,Zimmermann,4.4,4.4,Norwich,6,0.16
M,325,Cantwell,5.3,5.3,Norwich,0,0.00
D,326,Aarons,4.3,4.3,Norwich,81,1.32
D,327,Sørensen,4.3,4.3,Norwich,25,0.58
M,328,Placheta,4.7,4.7,Norwich,35,1.43
F,329,Idah,4.8,4.8,Norwich,0,0.00
M,330,Martin,5.0,5.0,Norwich,0,0.00
D,331,Omobamidele,3.9,3.9,Norwich,0,0.00
M,332,Walcott,5.8,5.8,Southampton,0,0.01
G,333,Forster,4.4,4.4,Southampton,79,2.85
G,334,McCarthy,4.3,4.3,Southampton,10,0.36
M,335,Romeu,4.5,4.5,Southampton,75,2.10
M,336,Redmond,5.9,5.9,Southampton,53,2.26
F,337,Ings,7.7,7.7,Aston Villa,61,2.26
D,338,Stephens,4.4,4.4,Southampton,18,0.48
M,339,S.Armstrong,5.8,5.8,Southampton,66,2.68
D,340,Vestergaard,4.7,4.7,Leicester,7,0.29
M,341,Ward-Prowse,6.4,6.4,Southampton,88,3.79
D,342,Walker-Peters,4.8,4.8,Southampton,86,2.23
D,343,Bednarek,4.4,4.4,Southampton,85,1.99
F,344,Nlundulu,4.5,4.5,Southampton,0,0.00
F,345,Adams,6.5,6.5,Southampton,57,2.86
M,346,Tella,4.7,4.7,Southampton,24,1.13
M,347,Smallbone,4.5,4.5,Southampton,0,0.04
F,348,Obafemi,4.5,4.5,Southampton,0,0.00
M,349,Diallo,4.5,4.5,Southampton,23,0.81
M,350,Djenepo,5.2,5.2,Southampton,3,0.21
D,351,Salisu,4.5,4.5,Southampton,82,1.93
G,352,Hart,4.5,4.5,Spurs,0,0.00
G,353,Lloris,5.4,5.4,Spurs,89,4.25
M,354,Sissoko,4.3,4.3,Watford,85,2.15
D,355,Alderweireld,5.0,5.0,Spurs,0,0.00
M,356,Lamela,6.0,6.0,Spurs,0,0.00
F,357,Kane,12.4,12.4,Spurs,88,8.20
D,358,Aurier,4.9,4.9,Spurs,0,0.00
M,359,Son,11.2,11.2,Spurs,88,8.16
D,360,Doherty,4.5,4.5,Spurs,0,0.00
D,361,Dier,4.7,4.7,Spurs,85,4.31
M,362,Lucas Moura,5.9,5.9,Spurs,29,1.98
M,363,Dele,6.2,6.2,Everton,11,0.53
D,364,Davies,4.5,4.5,Spurs,86,4.32
M,365,Højbjerg,4.8,4.8,Spurs,85,3.27
M,366,Winks,4.4,4.4,Spurs,19,0.82
D,367,Sánchez,4.2,4.2,Spurs,85,4.29
D,368,Sessegnon,4.3,4.3,Spurs,84,5.47
M,369,Bergwijn,5.9,5.9,Spurs,11,0.79
D,370,Reguilón,5.0,5.0,Spurs,0,0.00
D,371,Tanganga,4.2,4.2,Spurs,0,0.00
M,372,Lo Celso,5.9,5.9,Spurs,0,0.00
M,373,Skipp,4.4,4.4,Spurs,0,0.00
D,374,Rodon,4.2,4.2,Spurs,20,1.00
M,375,Ndombele,5.7,5.7,Spurs,0,0.00
G,376,Foster,4.2,4.2,Watford,89,3.10
D,377,Rose,4.2,4.2,Watford,0,0.00
M,378,Gosling,4.7,4.7,Watford,39,1.34
D,379,Cathcart,4.2,4.2,Watford,28,0.52
F,380,Deeney,5.4,5.4,Watford,0,0.00
M,381,Cleverley,4.8,4.8,Watford,29,0.96
D,382,Femenía,4.3,4.3,Watford,23,0.44
F,383,Gray,5.4,5.4,Watford,0,0.00
D,384,Kabasele,4.3,4.3,Watford,83,1.29
M,385,Chalobah,5.0,5.0,Watford,0,0.00
M,386,Hughes,4.7,4.7,Crystal Palace,49,1.68
D,387,Troost-Ekong,4.3,4.3,Watford,12,0.25
F,388,Perica,4.5,4.5,Watford,0,0.00
G,389,Bachmann,4.0,4.0,Watford,1,0.05
D,390,Masina,4.3,4.3,Watford,9,0.18
M,391,Sema,5.2,5.2,Watford,53,1.71
M,392,Zinckernagel,5.5,5.5,Watford,0,0.00
F,393,Success,5.0,5.0,Watford,0,0.00
M,394,Dele-Bashiru,4.5,4.5,Watford,0,0.00
F,395,Fletcher,4.8,4.8,Watford,0,0.00
D,396,Sierralta,4.3,4.3,Watford,7,0.16
M,397,Quina,4.5,4.5,Watford,0,0.00
D,398,Navarro,4.0,4.0,Watford,0,0.00
M,399,Sarr,5.7,5.7,Watford,11,0.45
D,400,Ngakia,4.2,4.2,Watford,51,0.97
D,401,Wilmot,4.5,4.5,Watford,0,0.00
M,402,Hungbo,4.5,4.5,Watford,0,0.00
M,403,Louza,5.2,5.2,Watford,0,0.00
F,404,João Pedro,5.4,5.4,Watford,81,2.62
M,405,Baah,4.3,4.3,Watford,2,0.16
M,406,Noble,4.3,4.3,West Ham,15,0.70
G,407,Randolph,4.3,4.3,West Ham,0,0.00
G,408,Fabianski,5.0,5.0,West Ham,87,3.41
D,409,Ogbonna,4.9,4.9,West Ham,0,0.00
D,410,Reid,3.9,3.9,West Ham,0,0.00
D,411,Cresswell,5.4,5.4,West Ham,51,1.92
M,412,Yarmolenko,5.0,5.0,West Ham,15,0.97
F,413,Antonio,7.3,7.3,West Ham,80,4.05
D,414,Dawson,4.9,4.9,West Ham,86,2.80
D,415,Fredericks,4.4,4.4,West Ham,8,0.28
M,416,Lanzini,5.6,5.6,West Ham,58,2.65
D,417,Masuaku,4.4,4.4,West Ham,8,0.30
D,418,Coufal,4.7,4.7,West Ham,80,2.64
M,419,Benrahma,5.9,5.9,West Ham,28,1.53
M,420,Bowen,6.8,6.8,West Ham,78,4.16
M,421,Rice,5.0,5.0,West Ham,86,2.47
M,422,Soucek,5.7,5.7,West Ham,71,2.72
M,423,Fornals,5.9,5.9,West Ham,68,2.81
D,424,Diop,4.2,4.2,West Ham,19,0.60
D,425,Johnson,3.9,3.9,West Ham,45,1.47
M,426,Moutinho,4.9,4.9,Wolves,85,2.24
G,427,Patrício,5.0,5.0,Wolves,0,0.00
D,428,Boly,4.9,4.9,Wolves,88,1.37
D,429,Coady,4.8,4.8,Wolves,85,1.37
F,430,Jiménez,7.5,7.5,Wolves,75,2.70
D,431,Saïss,4.8,4.8,Wolves,19,0.33
D,432,Marçal,4.2,4.2,Wolves,19,0.47
D,433,Jonny,4.5,4.5,Wolves,83,1.37
M,434,Dendoncker,4.6,4.6,Wolves,74,1.93
M,435,Traoré,5.6,5.6,Wolves,0,0.00
M,436,Neves,5.2,5.2,Wolves,82,2.10
D,437,Semedo,4.8,4.8,Wolves,0,0.00
M,438,Podence,5.5,5.5,Wolves,55,1.90
D,439,Kilman,4.5,4.5,Wolves,0,0.00
M,440,Gibbs-White,4.5,4.5,Wolves,0,0.00
M,441,Neto,6.2,6.2,Wolves,45,1.65
M,442,Otasowie,4.5,4.5,Wolves,0,0.00
D,443,Hoever,3.9,3.9,Wolves,17,0.45
G,444,Söndergaard,3.9,3.9,Wolves,0,0.00
F,445,Fabio Silva,5.6,5.6,Wolves,16,0.76
D,446,Mosquera,4.4,4.4,Wolves,2,0.06
F,447,Welbeck,5.9,5.9,Brighton,79,3.97
G,448,Gunn,4.0,4.0,Norwich,1,0.05
M,449,Rashica,5.2,5.2,Norwich,79,2.81
F,450,Dennis,5.8,5.8,Watford,9,0.37
D,451,Collins,4.3,4.3,Burnley,85,3.25
G,452,Ruddy,4.3,4.3,Wolves,0,0.02
M,453,Fernandinho,4.7,4.7,Man City,26,1.08
D,454,Pollock,4.0,4.0,Watford,0,0.00
F,455,Daka,7.0,7.0,Leicester,25,1.71
D,456,Gibson,4.4,4.4,Norwich,22,0.39
D,457,Giannoulis,4.4,4.4,Norwich,47,0.93
M,458,Soumaré,4.8,4.8,Leicester,16,0.71
M,459,Mata,4.7,4.7,Man Utd,32,1.64
D,460,Perraud,4.8,4.8,Southampton,0,0.00
M,461,Trincão,5.6,5.6,Wolves,9,0.47
M,462,Mwepu,5.9,5.9,Brighton,24,1.21
D,463,Firpo,4.7,4.7,Leeds,80,2.59
M,464,Olise,5.3,5.3,Crystal Palace,7,0.34
D,465,Fernández,4.3,4.3,Newcastle,2,0.05
D,466,Tavares,4.3,4.3,Arsenal,53,2.83
M,467,Etebo,4.3,4.3,Watford,12,0.41
F,468,King,5.6,5.6,Watford,10,0.46
F,469,Mebude,4.5,4.5,Watford,0,0.00
D,470,Ait Nouri,4.1,4.1,Wolves,67,1.11
M,471,Lees-Melou,4.8,4.8,Norwich,78,2.48
F,472,Cucho,4.9,4.9,Watford,30,1.09
D,473,Bertrand,4.6,4.6,Leicester,0,0.00
D,474,Ward,4.5,4.5,Crystal Palace,18,0.52
G,475,Sá,5.2,5.2,Wolves,89,3.17
G,476,Scherpen,4.5,4.5,Brighton,0,0.00
D,477,Guéhi,4.5,4.5,Crystal Palace,82,2.33
M,478,Sambi Lokonga,4.8,4.8,Arsenal,6,0.25
M,479,Onyeka,4.9,4.9,Brentford,5,0.32
G,480,Hennessey,4.5,4.5,Burnley,2,0.08
G,481,Begović,4.0,4.0,Everton,1,0.03
M,482,Townsend,5.2,5.2,Everton,0,0.00
D,483,Ajer,4.4,4.4,Brentford,76,2.69
M,484,Gray,5.4,5.4,Everton,45,2.04
M,485,Sancho,8.9,8.9,Man Utd,13,0.75
