Pos,ID,Name,BV,SV,Team,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
M,415,Smallbone,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
M,416,Diallo,4.3,4.3,Southampton,68,1.94,50,1.57,22,0.82,23,0.82
D,417,Perraud,4.4,4.4,Southampton,76,1.93,72,2.31,68,2.24,68,1.16
M,418,Djenepo,5.0,5.0,Southampton,35,1.35,30,1.23,34,1.37,34,1.20
D,419,Livramento,4.4,4.4,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
D,420,Salisu,4.4,4.4,Southampton,87,1.69,83,2.11,78,2.04,74,1.13
G,421,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
G,422,Bazunu,4.5,4.5,Southampton,88,3.11,84,3.12,86,3.19,84,2.96
D,423,Bella-Kotchap,4.5,4.5,Southampton,2,0.02,3,0.08,34,0.96,47,0.76
G,424,Caballero,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
G,425,Lloris,5.5,5.5,Spurs,89,3.66,88,3.89,87,3.21,87,3.84
G,426,Forster,3.9,3.9,Spurs,1,0.04,2,0.09,3,0.11,3,0.13
F,427,Kane,11.5,11.5,Spurs,85,5.80,83,5.90,82,4.77,78,6.42
M,428,Son,11.8,11.8,Spurs,81,5.64,75,5.66,73,4.42,67,5.78
D,429,Doherty,4.6,4.6,Spurs,48,2.36,50,2.77,48,1.71,48,2.80
D,430,Dier,5.3,5.3,Spurs,83,3.00,80,3.41,79,2.09,76,3.27
M,431,Lucas Moura,5.8,5.8,Spurs,28,1.67,22,1.44,13,0.77,15,1.03
D,432,Davies,4.9,4.9,Spurs,55,1.93,54,2.19,58,1.49,54,2.24
M,433,Højbjerg,5.6,5.6,Spurs,81,2.67,80,2.77,81,2.37,77,2.83
M,434,Winks,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
D,435,Sánchez,4.4,4.4,Spurs,25,0.88,28,1.16,28,0.78,31,1.35
D,436,R.Sessegnon,4.5,4.5,Spurs,61,3.07,51,2.98,50,1.94,44,2.64
M,437,Bergwijn,5.5,5.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
D,438,Reguilón,4.2,4.2,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
D,439,Tanganga,3.9,3.9,Spurs,1,0.04,3,0.07,3,0.06,4,0.11
M,440,Bentancur,5.4,5.4,Spurs,77,2.33,73,2.33,70,1.97,66,2.22
M,441,Skipp,4.4,4.4,Spurs,18,0.56,21,0.73,22,0.66,23,0.78
D,442,Rodon,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
D,443,Romero,4.9,4.9,Spurs,83,2.85,80,3.23,79,1.95,78,3.24
M,444,Bissouma,4.7,4.7,Spurs,39,1.37,41,1.46,41,1.32,39,1.46
D,445,Emerson Royal,4.9,4.9,Spurs,25,1.13,27,1.33,28,0.95,26,1.38
M,446,Kulusevski,8.0,8.0,Spurs,22,1.32,36,2.16,39,2.02,40,2.63
F,447,Scarlett,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
D,448,Perišić,5.5,5.5,Spurs,51,3.00,51,3.45,50,2.30,54,3.93
M,449,White,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
M,450,Sarr,4.3,4.3,Spurs,1,0.05,2,0.10,2,0.05,4,0.15
G,451,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
M,452,Devine,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
F,453,Parrott,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00
F,454,Richarlison,8.5,8.5,Spurs,0,0.00,6,0.29,20,0.97,36,2.12
G,455,Fabianski,5.0,5.0,West Ham,89,4.11,88,3.15,88,3.83,87,3.66
D,456,Ogbonna,4.4,4.4,West Ham,8,0.32,7,0.20,5,0.17,4,0.17
D,457,Cresswell,4.8,4.8,West Ham,73,3.68,68,1.77,64,2.83,63,2.77
F,458,Antonio,7.1,7.1,West Ham,47,3.02,39,1.89,34,2.01,32,2.02
D,459,Dawson,4.8,4.8,West Ham,29,1.33,55,1.26,59,2.36,54,2.09
M,460,Lanzini,5.2,5.2,West Ham,24,1.70,22,1.11,13,0.85,9,0.64
D,461,Zouma,4.5,4.5,West Ham,85,3.86,82,1.93,81,3.27,79,3.13
D,462,Masuaku,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00
D,463,Coufal,4.3,4.3,West Ham,41,2.01,37,0.95,34,1.48,38,1.59
M,464,Benrahma,5.6,5.6,West Ham,45,3.33,37,1.96,25,1.70,21,1.63
M,465,Bowen,8.2,8.1,West Ham,81,5.29,79,3.46,76,4.24,73,4.51
M,466,Vlasic,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00
M,467,Rice,4.8,4.8,West Ham,85,3.02,83,2.29,78,2.55,77,2.60
M,468,Soucek,5.3,5.3,West Ham,86,3.39,84,2.48,81,2.84,83,3.07
M,469,Fornals,5.2,5.2,West Ham,73,3.53,70,2.50,60,2.63,54,2.53
D,470,Diop,4.3,4.3,Fulham,61,1.57,60,2.04,57,0.81,60,1.34
D,471,Johnson,4.4,4.4,West Ham,38,1.85,27,0.79,25,1.11,22,0.93
D,472,Aguerd,4.8,4.8,West Ham,0,0.00,0,0.00,11,0.44,25,1.05
G,473,Areola,4.4,4.4,West Ham,1,0.00,2,0.07,2,0.04,3,0.09
D,474,Boly,4.2,4.2,Nott'm Forest,11,0.20,21,0.44,23,0.72,20,0.67
D,475,Coady,4.9,4.9,Everton,81,3.23,79,2.63,70,2.68,66,2.51
F,476,Jiménez,6.8,6.8,Wolves,0,0.00,0,0.00,11,0.53,32,1.40
D,477,Jonny,4.4,4.4,Wolves,78,2.94,68,2.13,68,2.47,69,1.79
G,478,Sá,5.1,5.1,Wolves,88,3.72,88,3.39,87,3.69,87,3.23
M,479,Dendoncker,4.7,4.7,Aston Villa,25,0.88,29,0.86,31,0.96,32,0.96
M,480,Neves,5.5,5.5,Wolves,83,3.45,80,2.84,77,2.85,79,2.63
M,481,Hwang,5.7,5.7,Wolves,46,2.94,36,2.03,36,2.04,32,1.71
D,482,Semedo,5.0,5.0,Wolves,37,1.51,40,1.39,41,1.62,41,1.22
M,483,Podence,5.5,5.5,Wolves,79,4.08,76,3.33,71,3.29,69,2.89
D,484,Kilman,4.6,4.5,Wolves,86,3.21,85,2.55,80,2.86,81,2.06
M,485,Cundle,4.4,4.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00
M,486,Neto,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00
D,487,Aït-Nouri,4.3,4.3,Wolves,58,2.17,66,2.03,64,2.28,63,1.63
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00
D,489,Toti,3.9,3.9,Wolves,6,0.20,15,0.41,20,0.64,20,0.47
M,490,Chiquinho,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00
M,491,Adama,5.5,5.5,Wolves,58,3.17,53,2.51,52,2.56,49,2.21
G,492,Šarkić,4.0,4.0,Wolves,2,0.04,2,0.08,2,0.08,3,0.11
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,77,2.70,75,2.48,72,3.25,74,3.14
D,494,Mosquera,3.9,3.9,Wolves,4,0.12,4,0.14,5,0.15,3,0.10
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
F,496,Plange,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
G,497,Adrián,3.9,3.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
D,498,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
D,499,Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
D,501,Phillips,4.0,4.0,Liverpool,9,0.43,8,0.38,4,0.15,2,0.11
G,502,Carson,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00
M,503,Moutinho,4.8,4.8,Wolves,81,2.50,80,2.25,77,2.28,75,2.04
D,504,Malacia,4.4,4.4,Man Utd,25,0.83,22,0.99,24,0.93,23,1.00
M,505,Rothwell,4.9,4.9,Bournemouth,9,0.33,11,0.42,13,0.50,13,0.52
M,506,Adams,5.0,5.0,Leeds,85,2.49,81,1.91,80,2.43,78,1.94
D,507,Niakhaté,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
M,508,Sinisterra,6.5,6.5,Leeds,69,4.58,66,2.73,65,4.44,61,2.84
M,509,Downes,4.3,4.3,West Ham,8,0.36,9,0.35,12,0.46,12,0.48
D,510,Hickey,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
D,511,Richards,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,2,0.04,3,0.11
M,512,Aribo,5.4,5.4,Southampton,62,2.27,63,2.32,56,2.23,58,1.90
D,513,Lenglet,4.8,4.8,Spurs,24,0.88,29,1.20,26,0.74,32,1.34
M,514,C.Doucouré,5.0,5.0,Crystal Palace,82,2.41,60,2.05,64,1.88,64,2.21
M,515,Lewis-Potter,5.2,5.2,Brentford,24,1.14,30,1.59,26,1.40,27,0.98
D,516,Collins,4.5,4.5,Wolves,87,3.19,81,2.44,78,2.77,78,1.98
G,517,Strakosha,4.3,4.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
G,518,Hennessey,3.9,3.9,Nott'm Forest,1,0.04,2,0.07,3,0.12,4,0.16
M,519,Eriksen,6.3,6.3,Man Utd,69,2.74,68,3.40,67,3.02,66,3.26
D,520,Koulibaly,5.5,5.5,Chelsea,83,2.98,77,2.78,79,2.61,72,2.35
M,521,Francois,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,522,Spence,4.2,4.2,Spurs,4,0.15,4,0.22,3,0.09,4,0.17
D,523,Toffolo,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,2,0.04
M,524,O'Brien,4.9,4.9,Nott'm Forest,4,0.14,14,0.43,22,0.79,20,0.69
D,525,Augustinsson,4.3,4.3,Aston Villa,0,0.00,8,0.24,17,0.59,15,0.48
D,526,Mee,4.5,4.5,Brentford,87,2.54,85,3.41,83,3.26,81,1.16
M,527,Lingard,5.5,5.5,Nott'm Forest,40,1.51,42,1.54,45,2.00,41,1.78
F,528,Mara,5.4,5.4,Southampton,20,1.06,22,1.15,25,1.34,25,1.10
F,529,Scamacca,6.8,6.8,West Ham,67,4.59,67,3.22,61,3.64,60,4.02
D,530,Richards,4.4,4.4,Crystal Palace,0,0.00,2,0.03,5,0.14,8,0.30
D,531,Vinagre,4.3,4.3,Everton,11,0.47,14,0.54,15,0.65,13,0.50
D,532,Mbabu,4.4,4.4,Fulham,39,1.36,33,1.42,19,0.50,14,0.47
D,533,Martínez,4.5,4.5,Man Utd,83,2.27,82,3.25,79,2.70,74,2.82
M,534,McNeil,5.2,5.2,Everton,41,1.85,41,1.85,43,2.11,44,2.05
M,535,Tavernier,4.9,4.9,Bournemouth,80,2.66,76,2.67,74,2.70,75,2.97
M,536,Mangala,4.9,4.9,Nott'm Forest,36,1.25,47,1.47,49,1.76,49,1.74
D,537,Kesler Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,538,Young,4.4,4.4,Aston Villa,84,3.29,72,1.90,39,1.24,25,0.82
D,539,Hill,4.4,4.4,Bournemouth,2,0.04,4,0.10,4,0.10,3,0.08
D,540,Stevens,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
F,541,Dervişoğlu,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
G,542,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
D,543,Clarke,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
D,544,Van Hecke,4.0,4.0,Brighton,10,0.21,14,0.50,13,0.47,13,0.60
D,545,Emerson,4.0,4.0,West Ham,27,1.51,27,0.98,27,1.35,27,1.37
M,546,Harris,4.4,4.4,Fulham,0,0.00,0,0.00,1,0.00,1,0.00
D,547,Drameh,4.0,4.0,Leeds,6,0.17,5,0.08,7,0.22,8,0.18
G,548,Iversen,3.9,3.9,Leicester,3,0.08,5,0.14,6,0.23,9,0.33
M,549,Praet,4.8,4.8,Leicester,13,0.58,14,0.61,12,0.58,13,0.61
M,550,Amad,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00
M,551,Iqbal,4.3,4.3,Man Utd,0,0.00,1,0.00,0,0.00,0,0.00
M,552,Anderson,4.5,4.5,Newcastle,5,0.25,6,0.34,6,0.33,4,0.21
M,553,Hammond,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,1,0.00
M,554,Bryan,5.0,5.0,Spurs,6,0.39,5,0.40,4,0.24,4,0.28
D,555,Ashby,4.0,4.0,West Ham,1,0.00,1,0.00,1,0.03,1,0.03
M,556,Coventry,4.4,4.4,West Ham,0,0.00,1,0.00,1,0.05,1,0.00
G,557,Smith,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00
D,558,Bueno,3.9,3.9,Wolves,15,0.53,13,0.42,14,0.50,16,0.43
D,559,Colwill,4.4,4.4,Brighton,4,0.09,14,0.45,25,0.97,25,1.12
M,560,Mills,4.4,4.4,Everton,0,0.00,1,0.00,1,0.00,1,0.00
M,561,Warrington,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00
M,562,Solomon,4.9,4.9,Fulham,0,0.00,0,0.00,0,0.00,3,0.15
D,563,Chambers,4.0,4.0,Liverpool,2,0.04,2,0.08,1,0.00,0,0.00
M,564,Bajcetic,4.4,4.4,Liverpool,1,0.05,2,0.06,1,0.05,0,0.00
M,565,Gray,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
M,566,Hodge,4.4,4.4,Wolves,2,0.09,2,0.09,4,0.17,3,0.09
M,567,Ronan,4.4,4.4,Wolves,1,0.00,1,0.05,2,0.09,3,0.09
M,568,Campbell,4.4,4.4,Wolves,3,0.10,5,0.18,6,0.23,7,0.26
M,569,Garnacho,4.3,4.3,Man Utd,4,0.24,4,0.27,3,0.20,4,0.21
M,570,Garner,4.5,4.5,Everton,7,0.24,7,0.24,9,0.32,10,0.37
G,571,Randolph,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00
M,572,Oko-Flex,4.4,4.4,West Ham,0,0.00,0,0.00,0,0.00,0,0.00
D,573,Lewis,3.9,3.9,Man City,4,0.11,5,0.20,5,0.23,2,0.04
G,574,Neto,4.5,4.5,Bournemouth,89,3.18,86,3.12,87,3.17,86,3.54
M,575,Cornet,5.9,5.9,West Ham,0,0.00,14,0.67,22,1.32,32,2.12
D,576,Senesi,4.5,4.5,Bournemouth,77,1.83,68,1.73,57,1.58,41,1.56
M,577,Onana,4.9,4.9,Everton,71,2.50,69,2.35,67,2.52,63,2.25
G,578,Robles,4.0,4.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
M,579,Guedes,6.0,6.0,Wolves,41,2.47,41,2.13,45,2.37,44,2.15
M,580,Damsgaard,5.2,5.2,Brentford,42,2.16,44,2.59,43,2.51,43,1.69
G,581,Smithies,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,582,Freuler,5.0,5.0,Nott'm Forest,69,1.91,64,1.76,62,2.06,62,1.99
M,583,Kouyaté,4.5,4.5,Nott'm Forest,44,1.38,35,1.14,33,1.23,33,1.21
M,584,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,1,0.00
F,585,Dennis,5.8,5.8,Nott'm Forest,45,1.69,43,1.59,45,2.08,46,2.01
D,586,Estupiñán,4.5,4.5,Brighton,61,1.28,60,2.52,57,2.62,49,2.68
D,587,Sergio Gómez,4.5,4.5,Man City,34,2.07,37,2.10,31,1.99,24,1.51
D,588,Kehrer,4.5,4.5,West Ham,82,3.59,78,1.76,75,2.95,70,2.68
M,589,Matheus,5.0,5.0,Wolves,75,3.16,71,2.63,68,2.60,67,2.36
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
F,591,Ablade,4.5,4.5,Fulham,1,0.06,2,0.12,3,0.09,4,0.16
G,592,H.Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
M,593,Casemiro,4.9,4.9,Man Utd,59,1.77,60,2.02,54,1.76,54,1.84
F,594,Isak,6.7,6.7,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
D,595,Zanka,4.0,4.0,Brentford,15,0.44,18,0.65,24,0.91,22,0.42
F,596,Ferguson,4.5,4.5,Brighton,1,0.00,1,0.06,2,0.07,2,0.13
F,597,Saydee,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
D,598,Bevan,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
M,599,Gomes,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00
M,600,Knight,4.5,4.5,Man City,0,0.00,2,0.10,4,0.16,2,0.11
M,601,Rodney,4.5,4.5,Crystal Palace,0,0.00,1,0.00,1,0.00,0,0.00
D,602,Renan Lodi,4.4,4.4,Nott'm Forest,50,0.93,77,1.26,75,2.53,73,2.54
M,603,Paquetá,6.0,6.0,West Ham,0,0.00,13,0.64,55,2.67,63,3.23
M,604,Phillips,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,1,0.00
D,605,Welch,4.0,4.0,Everton,1,0.00,1,0.03,2,0.03,1,0.00
M,606,Vale,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
M,607,Smith,4.5,4.5,Arsenal,0,0.00,0,0.00,1,0.00,1,0.05
F,608,Kalajdžić,5.4,5.4,Wolves,0,0.00,0,0.00,0,0.00,0,0.00
M,609,Antony,7.6,7.6,Man Utd,80,3.78,76,4.73,75,4.13,73,4.46
D,610,Akanji,5.0,5.0,Man City,57,2.95,52,2.45,46,2.58,35,1.90
M,611,Gueye,5.0,5.0,Everton,74,2.23,72,2.13,68,2.12,66,2.04
D,612,Faes,4.5,4.5,Leicester,85,2.37,82,1.26,80,2.22,75,1.76
D,613,Kurzawa,4.4,4.4,Fulham,2,0.07,10,0.36,16,0.36,21,0.64
M,614,Willian,5.5,5.5,Fulham,67,3.00,64,3.15,60,1.98,59,2.54
G,615,Kovár,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00
M,616,Zakaria,5.0,5.0,Chelsea,5,0.16,12,0.46,10,0.39,21,0.74
F,617,Aubameyang,9.1,9.1,Chelsea,68,4.14,65,3.52,65,3.74,60,3.33
F,618,Vinícius,5.5,5.5,Fulham,21,1.18,23,1.32,22,0.88,23,1.18
F,619,Gnonto,5.0,5.0,Leeds,10,0.63,13,0.58,16,0.94,16,0.79
M,620,Arthur,4.8,4.8,Liverpool,0,0.00,0,0.00,3,0.13,8,0.32
D,621,Badé,4.5,4.5,Nott'm Forest,3,0.06,8,0.16,6,0.17,5,0.14
D,622,Larios,4.0,4.0,Southampton,19,0.50,20,0.62,21,0.67,20,0.46
D,623,Caleta-Car,4.5,4.5,Southampton,82,1.62,79,2.04,57,1.49,50,0.79
M,624,Edozie,4.8,4.8,Southampton,15,0.80,17,0.86,18,0.95,19,0.86
F,625,Diego Costa,5.5,5.5,Wolves,44,2.37,62,2.73,56,2.54,43,1.93
G,626,Karius,4.0,4.0,Newcastle,1,0.04,1,0.04,2,0.04,2,0.08
G,627,Jakupović,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,628,Aurier,4.5,4.5,Nott'm Forest,42,0.91,45,0.90,47,1.67,47,1.70
M,629,Traoré,4.5,4.5,Wolves,16,0.65,20,0.75,23,0.86,23,0.79
M,630,Nwaneri,4.5,4.5,Arsenal,0,0.00,1,0.00,1,0.00,1,0.00
D,631,Sousa,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,1,0.00
M,632,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,1,0.00
G,633,Cox,4.0,4.0,Brentford,2,0.04,2,0.09,4,0.13,3,0.11
F,634,Gordon,4.5,4.5,Crystal Palace,0,0.00,0,0.00,1,0.06,1,0.00
G,635,Bettinelli,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
D,636,Parkes,4.0,4.0,Fulham,2,0.05,2,0.03,1,0.00,0,0.00
D,637,John,4.0,4.0,Everton,1,0.00,1,0.03,1,0.03,1,0.00
D,638,Bogarde,4.0,4.0,Aston Villa,3,0.11,6,0.17,2,0.06,1,0.03
M,639,Braybrooke,4.5,4.5,Leicester,0,0.00,0,0.00,1,0.00,0,0.00
D,640,Turns,4.0,4.0,Brighton,2,0.04,3,0.08,1,0.03,2,0.06
M,641,Godo,4.5,4.5,Fulham,0,0.00,0,0.00,1,0.00,1,0.04
D,642,Balmer,4.0,4.0,Crystal Palace,4,0.12,4,0.14,1,0.00,1,0.00
M,643,Mainoo,4.5,4.5,Man Utd,1,0.00,1,0.00,1,0.00,0,0.00
G,644,Goodman,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
G,10150,Andy Lonergan,99.9,99.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00
F,10232,Léo Bonatini,99.9,99.9,Wolves,1,0.00,1,0.06,1,0.06,2,0.06
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00
D,10260,Axel Tuanzebe,99.9,99.9,Man Utd,4,0.11,15,0.60,5,0.16,1,0.05
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
G,10275,Jordan Smith,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
G,10347,Adnan Kanuric,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
